id,name,taxa_kind_id_name,description,col_id,eol_id,Sinonimi,Autore,Etimologia,"Tipo di vegetazione","Diffusione geografica","Nome italiano",Fioritura,Altezza,"Inizio fioritura","Fine fioritura"
195782,"Crepis biennis",Specie,"Pianta bienne, con fusto eretto e setoloso; le foglie basali sono picciolate e profondamente dentate, quelle del fusto sono abbraccianti con lunghi denti alla base. I capolini gialli, di 2-3 cm, hanno un involucro di squame lineari verdi; gli acheni sono allungati e striati e portano un pappo sessile, bianco.<br /><br />La specie è buona mellifera.",c181e94d065d9a29b65919b72f839a88,578198,,,"Il nome del genere è di origine greca signoficando 'scarpa', forse per il fatto che le foglie basali sono addossate al terreno.","Frequente nei prati e pascoli concimati fino al piano montano inferiore.","Diffusa in quasi tutta l'Europa.","Radicchiella dei prati",,,Maggio,Settembre
709781,"Crepis vesicaria",Specie,"Pianta annua o bienne, con foglie basali in rosetta, lirate e dentate, foglie sul fusto bratteiformi, in alto ovali e avvolgenti. I capolini di fiori ligulati, gialli o arrossati, sono raccolti in racemi corimbosi; le brattee avvolgenti esterne sono ovali, un po' rigonfie. Gli acheni sono costolati e con pappo.<br /><br />derata anche sottospecie: si distingue per l'assenza di brattee rigonfie; ha distribuzione prevalentemente occidentale.",c4244021b81e0fad5de67c07abe4f54b,467502,"( = Barkhausia vesicaria DC.)",Linneo,,,"Pianta dell'Europa meridionale.","Radicchiella vescicosa",,,Maggio,Agosto
632780,"Crepis foetida",Specie,"Pianta annua, pelosa, di odore poco grato, con fusti eretti ramosi, foglie a lembo roncinato e capolini di 2 cm di ⌀ all'apice di lunghi peduncoli. Fiori ligulati gialli o leggermente arrossati; acheni a rostro breve o allungato e pappo bianco.",88b756b9cde761e00155ed5b1623b5d2,578203,,Linneo,,"È presente negli ambienti incolti, al margine dei campi, delle strade fino a 1000 m.","Diffusa più o meno in tutta Europa.","Radicchiella selvatica",,,Maggio,Ottobre
495779,"Sonchus oleraceus",Specie,"Pianta annua, fittonante, con fusti eretti e cavi, porta foglie variabili per forma, da lanceolate a roncinate; i corimbi terminati sono dati da capolini di 2 cm di ⌀, con involucro glabro di squame lanceolate e fiori gialli da cui sporgono gli stimmi verdi. Gli acheni sono compressi e con costole longitudinali, il pappo è sessile.<br /><br /> Verdura selvatica apprezzata in primavera, ha proprietà medicinali affini al Taraxacum.",4c38ae4997e0c766d2c565f9bae4c8ed,492350,,Linneo,"Oleraceus significa ","Campi e ambienti concimati, lungo i muri e al bordo delle strade fino al piano montano.","Comunissima in tutta Europa.","Grespino comune",,,Marzo,Ottobre
698778,"Sonchus arvensis",Specie,"Pianta perenne, con getti striscianti, fusti eretti, glauchi; le foglie basali sono roncinate seghettate, quelle del fusto lanceolate e abbraccianti; i capolini, di 3 cm di ⌀, sono raccolti in corimbi e sono costituiti da fiori ligulati gialli; gli acheni costolati portano un pappo sessile.<br /><br />La radice torrefatta si può usare, come quella della cicoria, come succedaneo del caffè; ha proprietà medicinali analoghe a Taraxacum, ed è buona mediterà.",634ee64b2159ed4b6ba12dd3bac483e9,492387,,Linneo,"Il genere riporta il nome greco di questa composita.","Comune infestante dei campi, si trova anche negli incolti, al margine delle strade fino al piano montano inferiore.","Presente in tutta Europa, salvo nell'estremo sud-ovest.","Grespino dei campi",,,Maggio,Settembre
817776,"Chondrilla juncea",Specie,"Pianta perenne, glauca, con fusti eretti ramosi che portano foglie lineari; la rosetta basale presenta foglie a margine grossolanamente dentato, con setole acute. I capolini sono piccoli, composti da pochi fiori ligulati gialli; gli acheni conici portano pappo peduncolato bianco.<br /><br />Le rosette basali si utilizzano in alcuni paesi europei per insalate primaverili.<br /><br />Nelle zone ghiaiose, negli alvei dei torrenti, al margine orientale delle Alpi, è possibile rinvenire <em>C. chondrilloides</em> Karsten, i cui capolini, tutti peduncolati, sono riuniti in corimbo.",ea7523486a61c597ee23f7ef33edc590,467604,,Linneo,"Il nome del genere, dal greco, significa 'grumo', per la caratteristica che ha il latice di rapprendersi, quello specifico significa 'a forma di giunco'.","Si incontra nei prati e pascoli aridi e nei luoghi incolti fino al piano montano.","Diffusa in gran parte delle regioni meridionali del continente.",Lattugaccio,,,Giugno,Settembre
1002775,"Podospermum laciniatum",Specie,"Pianta bienne, più o meno glabra, con fusti ramificati, cavi, che portano foglie pennatopartite con lacinie sottili e capolini piccoli, a involucro cilindrico e fiori ligulati giallo-rossastri; gli acheni, con breve peduncolo, portano un corto pappo all'apice.",4998c6b0ec356adcab35d19687d603c0,5107640,"( = Scorzonera laciniata L.)","(L.) DC.","Gli acheni peduncolati hanno determinato il nome del genere, dal greco pus, podós = piede e spèrma = seme.","La specie, non comune, s'incontra nei campi, negli incolti, lungo i sentieri fino al piano montano.","Presente, anche se relativamente rara, nell'Europa centrale e meridionale.","Scorzonera a foglie laciniate",,,Maggio,Luglio
721774,"Leontodon autumnalis",Specie,"Pianta perenne, appena pelosa, con foglie più o meno pennatopartite, raccolte in rosetta basale; presenta scapi ramificati con 1-2 capolini eretti prima della fioritura, con fiori ligulati gialli; gli acheni portano pappi piumosi.<br /><br />Si consumano in insalata le giovani foglie; buona mellifera.",afe6d09dcfa2b61e4e23e39d6b6ff6bc,503434,,Linneo,"Il margine grossolanamente dentato delle foglie ha dato il nome, dal greco, al genere.","Specie frequente nei prati falciati, nei pascoli e nei campi fino al piano alpino.","Diffusa in Europa, ma rara nella regione mediterranea dove è legata ad ambienti montuosi.","Dente di leone ramoso",,,Giugno,Novembre
697773,"Lactuca serriola",Specie,"Pianta annua o bienne, glabra e glaucescente, con fusto alto più di 1 m, porta foglie abbraccianti a lembo dentato-partito, di solito erette e verticali. I capolini di fiori ligulati gialli sono piccoli e numerosi, portali in ampie pannocchie; gli acheni sono ovali e pelosi.<br /><br />Le plantule possono essere utilizzate come verdura selvatica.",601806ebb5831dc96e8c86b6a34cbef2,468149,,Linneo,,"Presente nei campi, vigneti, luoghi incolti e antropizzati fino al piano collinare.","Diffusa in Europa, manca all'estremo nord.","Lattuga selvatica, erba bussola, scarola",,,Marzo,Settembre
623772,"Lactuca perennis",Specie,"Pianta perenne, glabra, con foglie glauche, porta sul fusto foglie abbraccianti profondamente divise; i capolini di fiori ligulati azzurri o lilla sono portati in pannocchie corimbose.",9bebf1ddf91ba9906d52c397a9c01c36,6229246,,Linneo,,"Si incontra negli ambienti aridi e pietrosi, al bordo dei campi fino al piano montano.","Diffusa nell'Europa centrale.","Lattuga rupestre",,,Aprile,Agosto
